uid,gender,score,is_habit_drink,is_habit_smoke,is_subscribed,A,B,C,D,E
159,F,40,2,0,0,1.0,2.0,39.0,42.0,21.0
16,A,94,0,0,0,35.0,8.0,10.0,44.0,44.0
161,F,74,3,3,1,1.0,8.0,10.0,44.0,44.0
162,F,65,0,0,0,1.0,8.0,10.0,42.0,3.0
163,F,31,2,0,0,22.0,10.0,12.0,28.0,35.0
164,F,59,2,0,0,36.0,24.0,31.0,53.0,50.0
165,F,158,0,0,0,1.0,8.0,10.0,44.0,44.0
166,F,141,3,3,1,1.0,8.0,10.0,44.0,44.0
167,F,188,2,2,0,1.0,8.0,10.0,44.0,44.0
168,F,100,3,3,1,1.0,8.0,10.0,44.0,44.0
17,F,207,1,1,0,22.0,2.0,42.0,35.0,59.0
171,F,149,1,0,0,0.0,1.0,11.0,24.0,45.0
172,F,225,0,0,0,37.0,53.0,24.0,14.0,46.0
173,F,104,2,0,0,1.0,8.0,10.0,44.0,44.0
174,F,242,0,1,0,6.0,1.0,8.0,22.0,17.0
175,F,110,0,0,0,2.0,28.0,35.0,31.0,16.0
176,F,190,0,0,0,1.0,8.0,10.0,44.0,44.0
177,F,140,0,0,0,1.0,8.0,10.0,44.0,44.0
178,F,158,0,0,0,14.0,8.0,10.0,44.0,44.0
179,F,247,0,0,0,26.0,3.0,10.0,44.0,44.0
18,NB,-23,0,1,0,1.0,8.0,10.0,44.0,44.0
180,F,127,0,0,0,21.0,1.0,7.0,65.0,63.0
181,F,129,0,1,0,10.0,42.0,34.0,0.0,53.0
183,F,157,2,0,0,34.0,76.0,9.0,24.0,40.0
185,F,129,3,3,0,1.0,8.0,10.0,44.0,44.0
186,F,59,0,0,0,8.0,38.0,68.0,24.0,29.0
187,F,180,1,1,0,12.0,28.0,14.0,24.0,62.0
188,F,176,2,2,0,3.0,11.0,53.0,25.0,44.0
189,F,260,2,0,0,1.0,8.0,10.0,44.0,44.0
19,F,166,0,0,0,1.0,8.0,10.0,44.0,44.0
190,F,68,2,0,0,1.0,8.0,10.0,44.0,44.0
192,F,120,2,2,0,12.0,22.0,45.0,37.0,31.0
193,F,133,2,2,0,1.0,8.0,18.0,20.0,17.0
195,F,115,2,0,0,28.0,24.0,14.0,20.0,44.0
196,F,254,3,3,1,1.0,8.0,10.0,44.0,44.0
199,F,169,0,0,0,1.0,8.0,10.0,44.0,44.0
20,F,280,2,2,0,14.0,62.0,32.0,9.0,20.0
200,F,155,0,0,0,3.0,24.0,73.0,22.0,70.0
203,F,185,0,1,0,8.0,22.0,63.0,52.0,44.0
204,F,230,0,0,0,22.0,75.0,67.0,30.0,50.0
206,F,173,2,0,0,38.0,44.0,10.0,23.0,44.0
208,F,432,2,0,0,8.0,8.0,44.0,34.0,50.0
209,F,293,2,2,0,1.0,8.0,10.0,44.0,44.0
21,F,68,0,0,0,8.0,10.0,3.0,28.0,59.0
210,F,160,3,3,1,1.0,8.0,10.0,44.0,44.0
211,F,140,2,0,0,2.0,8.0,10.0,44.0,44.0
213,F,128,3,3,1,1.0,8.0,10.0,44.0,44.0
215,F,72,0,0,0,39.0,28.0,70.0,44.0,49.0
216,F,128,2,1,0,1.0,8.0,10.0,44.0,44.0
218,F,43,3,3,1,1.0,8.0,10.0,44.0,44.0
219,F,136,3,3,1,1.0,8.0,10.0,44.0,44.0
220,F,182,2,2,0,11.0,51.0,32.0,45.0,44.0
222,F,112,1,0,0,11.0,31.0,62.0,44.0,53.0
223,F,214,0,2,0,8.0,18.0,2.0,22.0,10.0
225,F,160,2,0,0,1.0,0.0,58.0,13.0,30.0
227,F,122,0,0,0,1.0,8.0,10.0,44.0,44.0
228,F,216,0,0,0,40.0,44.0,15.0,76.0,44.0
231,F,223,0,0,0,1.0,8.0,10.0,44.0,44.0
232,F,238,1,1,0,0.0,8.0,3.0,31.0,45.0
233,F,122,0,0,0,8.0,2.0,11.0,44.0,44.0
234,F,121,2,2,0,2.0,39.0,42.0,44.0,6.0
235,F,191,0,2,0,8.0,2.0,10.0,22.0,29.0
236,F,95,0,0,1,8.0,21.0,9.0,15.0,47.0
237,F,175,0,0,0,28.0,31.0,67.0,36.0,73.0
238,F,145,3,3,1,1.0,8.0,10.0,44.0,44.0
24,F,9,2,2,0,2.0,58.0,31.0,6.0,62.0
240,F,182,1,2,1,1.0,8.0,21.0,2.0,34.0
241,F,139,2,1,0,8.0,44.0,49.0,13.0,44.0
242,F,45,3,3,1,1.0,8.0,10.0,44.0,44.0
